customerid,contract,total_charges,monthly_charges,tenure,tenure_bucket,churn_flag,payment_method,calls_last_90d,unresolved_calls_90d,avg_resolution_time,avg_payment,missing_method_count,last_payment_date
3546-GHEAE,two year,165.35,19.45,7,6-12,False,Mailed check,,,,19.45,0,2022-12-02
7361-YPXFS,month-to-month,1867.6,64.45,28,24-48,False,Bank transfer (automatic),,,,64.45,0,2022-12-03
6557-BZXLQ,month-to-month,1043.3,69.65,16,12-24,False,Electronic check,,,,69.65,0,2022-12-01
2550-QHZGP,one year,128.6,19.5,7,6-12,False,Mailed check,,,,19.5,0,2022-12-28
7519-JTWQH,two year,7455.45,110.5,69,48+,False,Bank transfer (automatic),,,,110.5,0,2022-12-18
2538-OIMXF,month-to-month,24.7,24.7,1,0-6,False,Mailed check,,,,24.7,0,2022-12-15
8543-MSDMF,month-to-month,206.15,77.4,3,0-6,False,Electronic check,,,,77.4,0,2022-12-03
9961-JBNMK,month-to-month,2030.3,96.8,21,12-24,True,Bank transfer (automatic),,,,96.8,0,2022-12-13
1170-SASML,month-to-month,5869.4,85.4,69,48+,False,Bank transfer (automatic),,,,85.4,0,2022-12-18
4872-JCVCA,two year,3377.8,47.6,71,48+,False,Bank transfer (automatic),,,,47.6,0,2022-12-07
5346-BZCHP,two year,1346.2,19.4,69,48+,False,Mailed check,,,,19.4,0,2022-12-02
2038-LLMLM,month-to-month,4946.05,103.85,48,48+,False,Electronic check,,,,103.85,0,2022-12-07
6173-ITPWD,month-to-month,4065.0,83.35,47,24-48,True,Bank transfer (automatic),,,,83.35,0,2022-12-04
9734-UYXQI,month-to-month,106.55,49.4,2,0-6,True,Electronic check,,,,49.4,0,2022-12-20
1216-BGTSP,month-to-month,4964.7,108.45,45,24-48,False,Credit card (automatic),,,,108.45,0,2022-12-24
4138-NAXED,month-to-month,4085.75,81.0,51,48+,False,Bank transfer (automatic),,,,81.0,0,2022-12-08
2189-UXTKY,month-to-month,1742.75,79.2,22,12-24,True,Electronic check,,,,79.2,0,2022-12-06
0744-BIKKF,two year,6224.8,86.65,72,48+,False,Bank transfer (automatic),,,,86.65,0,2022-12-19
7483-IQWIB,month-to-month,3415.25,92.95,37,24-48,False,Electronic check,,,,92.95,0,2022-12-01
5248-KWLAR,two year,6325.25,90.35,71,48+,False,Electronic check,,,,90.35,0,2022-12-22
4958-GZWIY,month-to-month,340.25,48.7,7,6-12,True,Electronic check,,,,48.7,0,2022-12-16
7996-MHXLW,two year,1683.6,25.15,66,48+,False,Credit card (automatic),,,,25.15,0,2022-12-24
7833-PKIHD,one year,3966.3,76.4,51,48+,False,Bank transfer (automatic),,,,76.4,0,2022-12-07
7061-OVMIM,one year,608.5,19.55,30,24-48,False,Bank transfer (automatic),,,,19.55,0,2022-12-20
5153-RTHKF,month-to-month,2896.6,85.35,34,24-48,False,Electronic check,,,,85.35,0,2022-12-26
1852-QSWCD,two year,1514.85,24.8,64,48+,False,Mailed check,,,,24.8,0,2022-12-19
4832-VRBMR,one year,6792.45,103.15,65,48+,False,Bank transfer (automatic),,,,103.15,0,2022-12-23
9079-LWTFD,month-to-month,4669.2,100.75,47,24-48,False,Mailed check,,,,100.75,0,2022-12-16
6356-ELRKD,month-to-month,95.6,95.6,1,0-6,True,Electronic check,,,,95.6,0,2022-12-10
8624-GIOUT,month-to-month,2934.3,59.75,49,48+,True,Credit card (automatic),,,,59.75,0,2022-12-19
3392-EHMNK,two year,6302.8,94.1,67,48+,False,Credit card (automatic),,,,94.1,0,2022-12-27
5986-WWXDV,one year,779.2,19.35,39,24-48,False,Bank transfer (automatic),,,,19.35,0,2022-12-19
3061-BCKYI,month-to-month,283.75,19.9,14,12-24,False,Mailed check,,,,19.9,0,2022-12-25
6179-GJPSO,month-to-month,4600.7,108.15,43,24-48,True,Credit card (automatic),0.0,1.0,38.0,108.15,0,2022-12-24
7901-TBKJX,month-to-month,5594.0,101.05,56,48+,False,Electronic check,,,,101.05,0,2022-12-05
7228-PAQPD,one year,772.85,59.1,14,12-24,False,Credit card (automatic),,,,59.1,0,2022-12-18
3177-LASXD,month-to-month,71.35,71.35,1,0-6,True,Electronic check,,,,71.35,0,2022-12-06
7746-QYVCO,one year,857.8,55.85,16,12-24,False,Mailed check,,,,55.85,0,2022-12-13
5804-HYIEZ,month-to-month,7554.05,106.05,70,48+,False,Electronic check,1.0,1.0,24.0,106.05,0,2022-12-02
9919-FZDED,two year,5981.65,84.1,72,48+,False,Credit card (automatic),,,,84.1,0,2022-12-24
5934-TSSAU,month-to-month,1702.9,75.3,23,12-24,False,Credit card (automatic),1.0,1.0,50.0,75.3,0,2022-12-17
3486-KHMLI,month-to-month,467.15,24.7,21,12-24,False,Mailed check,,,,24.7,0,2022-12-16
4897-QSUYC,month-to-month,20.15,20.15,1,0-6,True,Mailed check,,,,20.15,0,2022-12-08
1084-UQCHV,month-to-month,69.75,69.75,1,0-6,True,Bank transfer (automatic),,,,69.75,0,2022-12-11
8290-YWKHZ,month-to-month,2931.0,93.2,32,24-48,True,Electronic check,,,,93.2,0,2022-12-23
2955-BJZHG,month-to-month,1400.85,80.85,17,12-24,True,Electronic check,,,,80.85,0,2022-12-24
3806-DXQOM,month-to-month,137.85,33.65,4,0-6,True,Electronic check,,,,33.65,0,2022-12-10
6784-XYJAE,one year,1941.5,55.8,36,24-48,False,Electronic check,,,,55.8,0,2022-12-12
3933-DQPWX,two year,1932.75,39.7,50,48+,False,Credit card (automatic),,,,39.7,0,2022-12-10
6661-EIPZC,month-to-month,1423.05,29.5,48,48+,False,Credit card (automatic),,,,29.5,0,2022-12-08
8957-THMOA,two year,970.85,20.15,50,48+,False,Credit card (automatic),,,,20.15,0,2022-12-27
2251-PYLPB,two year,5810.9,79.55,72,48+,False,Credit card (automatic),2.0,1.0,33.0,79.55,0,2022-12-19
5555-RNPGT,month-to-month,223.9,24.8,10,6-12,False,Credit card (automatic),,,,24.8,0,2022-12-08
1057-FOGLZ,month-to-month,391.7,19.65,18,12-24,False,Mailed check,0.0,4.0,32.6,19.65,0,2022-12-06
9300-RENDD,month-to-month,79.95,79.95,1,0-6,True,Electronic check,,,,79.95,0,2022-12-15
0761-AETCS,month-to-month,19.3,19.3,1,0-6,True,Electronic check,,,,19.3,0,2022-12-17
8087-LGYHQ,month-to-month,811.65,94.05,9,6-12,False,Electronic check,,,,94.05,0,2022-12-12
4137-BTIKL,month-to-month,174.75,90.75,2,0-6,False,Mailed check,,,,90.75,0,2022-12-27
2190-BCXEC,month-to-month,3126.85,78.85,40,24-48,False,Credit card (automatic),,,,78.85,0,2022-12-12
6227-FBDXH,one year,6841.45,99.5,69,48+,False,Bank transfer (automatic),,,,99.5,0,2022-12-21
2153-MREFK,one year,3754.6,99.2,37,24-48,True,Electronic check,,,,99.2,0,2022-12-05
2911-WDXMV,month-to-month,1406.65,80.55,18,12-24,False,Credit card (automatic),,,,80.55,0,2022-12-16
7206-PQBBZ,month-to-month,834.7,70.2,11,6-12,False,Electronic check,,,,70.2,0,2022-12-24
3106-ULWFW,month-to-month,627.4,85.2,8,6-12,True,Credit card (automatic),,,,85.2,0,2022-12-11
0925-VYDLG,month-to-month,242.0,75.25,3,0-6,True,Electronic check,,,,75.25,0,2022-12-02
4547-FZJWE,one year,3157.0,59.45,55,48+,False,Credit card (automatic),,,,59.45,0,2022-12-11
7422-WNBTY,month-to-month,3092.0,93.35,33,24-48,False,Electronic check,,,,93.35,0,2022-12-02
0842-IWYCP,month-to-month,2168.9,44.95,46,24-48,False,Bank transfer (automatic),,,,44.95,0,2022-12-25
3521-HTQTV,two year,980.35,26.1,34,24-48,False,Bank transfer (automatic),,,,26.1,0,2022-12-20
3744-ZBHON,month-to-month,65.95,20.2,3,0-6,False,Electronic check,,,,20.2,0,2022-12-27
3373-DIUUN,two year,711.9,21.25,30,24-48,False,Mailed check,1.0,3.0,37.2,21.25,0,2022-12-17
8383-SGHJU,one year,1952.8,59.4,33,24-48,False,Electronic check,,,,59.4,0,2022-12-04
7607-QKKTJ,one year,4368.85,95.0,45,24-48,False,Credit card (automatic),,,,95.0,0,2022-12-04
7707-PYBBH,month-to-month,2647.1,61.9,40,24-48,False,Mailed check,,,,61.9,0,2022-12-18
8984-HPEMB,two year,8477.6,118.65,71,48+,False,Electronic check,,,,118.65,0,2022-12-28
4349-GFQHK,month-to-month,54.35,54.35,1,0-6,True,Electronic check,,,,54.35,0,2022-12-03
4139-DETXS,two year,4528.0,64.45,72,48+,False,Bank transfer (automatic),,,,64.45,0,2022-12-07
9779-DPNEJ,month-to-month,1790.65,80.15,22,12-24,False,Electronic check,,,,80.15,0,2022-12-10
9805-FILKB,one year,845.6,20.2,46,24-48,False,Bank transfer (automatic),,,,20.2,0,2022-12-19
5793-YOLJN,two year,1210.3,21.0,55,48+,False,Mailed check,,,,21.0,0,2022-12-08
0673-IGUQO,month-to-month,20.45,20.45,1,0-6,False,Mailed check,,,,20.45,0,2022-12-21
4123-FCVCB,one year,854.45,75.85,12,12-24,False,Mailed check,,,,75.85,0,2022-12-18
8819-IMISP,month-to-month,2429.1,80.45,31,24-48,False,Electronic check,,,,80.45,0,2022-12-17
7802-EFKNY,month-to-month,100.4,24.95,5,0-6,True,Electronic check,,,,24.95,0,2022-12-05
8311-UEUAB,two year,5229.45,75.5,67,48+,False,Electronic check,,,,75.5,0,2022-12-16
5858-EAFCZ,month-to-month,44.45,44.45,1,0-6,False,Mailed check,,,,44.45,0,2022-12-28
8035-BUYVG,one year,1716.45,42.35,40,24-48,True,Electronic check,,,,42.35,0,2022-12-08
1163-ONYEY,month-to-month,3023.55,74.55,41,24-48,False,Credit card (automatic),,,,74.55,0,2022-12-28
9787-XVQIU,month-to-month,75.3,75.3,1,0-6,True,Electronic check,,,,75.3,0,2022-12-03
8945-MUQUF,one year,4837.6,94.8,51,48+,True,Electronic check,,,,94.8,0,2022-12-26
5656-MJEFC,two year,2032.3,48.15,42,24-48,False,Credit card (automatic),,,,48.15,0,2022-12-07
6082-OQFBA,one year,436.9,19.65,23,12-24,False,Mailed check,0.0,2.0,30.0,19.65,0,2022-12-03
8051-HJRLT,month-to-month,70.55,70.55,1,0-6,True,Electronic check,,,,70.55,0,2022-12-02
8974-OVACP,month-to-month,20.15,20.15,1,0-6,False,Mailed check,,,,20.15,0,2022-12-17
4010-YLMVT,month-to-month,5893.95,106.6,56,48+,False,Credit card (automatic),0.0,1.0,31.5,106.6,0,2022-12-22
1379-FRVEB,month-to-month,1430.05,91.0,15,12-24,False,Electronic check,0.0,0.0,30.5,91.0,0,2022-12-26
8612-GXIDD,two year,313.0,25.4,12,12-24,False,Bank transfer (automatic),,,,25.4,0,2022-12-14
6288-CHQJB,two year,3871.85,69.95,54,48+,False,Bank transfer (automatic),,,,69.95,0,2022-12-06
8160-HOWOX,month-to-month,458.1,66.85,7,6-12,False,Electronic check,,,,66.85,0,2022-12-18
3023-GFLBR,month-to-month,2745.7,86.15,33,24-48,True,Credit card (automatic),,,,86.15,0,2022-12-13
6648-INWPS,month-to-month,341.35,20.15,16,12-24,False,Electronic check,,,,20.15,0,2022-12-10
4223-BKEOR,one year,1336.8,64.85,21,12-24,False,Mailed check,,,,64.85,0,2022-12-12
4079-VTGLK,two year,2181.75,74.85,30,24-48,False,Electronic check,,,,74.85,0,2022-12-15
1763-WQFUK,month-to-month,147.75,50.5,3,0-6,False,Mailed check,,,,50.5,0,2022-12-25
1391-UBDAR,month-to-month,818.45,72.9,11,6-12,False,Electronic check,1.0,1.0,49.0,72.9,0,2022-12-13
8894-JVDCV,one year,7133.45,115.05,62,48+,False,Credit card (automatic),,,,115.05,0,2022-12-03
2023-VQFDL,month-to-month,348.8,19.0,18,12-24,False,Electronic check,,,,19.0,0,2022-12-15
1345-GKDZZ,month-to-month,128.6,19.55,6,6-12,False,Mailed check,,,,19.55,0,2022-12-07
2014-MKGMH,one year,4674.4,101.1,46,24-48,False,Electronic check,,,,101.1,0,2022-12-20
5628-FCGYG,month-to-month,1737.45,84.1,21,12-24,False,Electronic check,,,,84.1,0,2022-12-09
2560-WBWXF,two year,1498.85,24.15,68,48+,False,Bank transfer (automatic),,,,24.15,0,2022-12-27
0248-IPDFW,month-to-month,50.1,50.1,1,0-6,False,Electronic check,,,,50.1,0,2022-12-24
7978-DKUQH,month-to-month,1797.75,74.6,25,24-48,False,Electronic check,,,,74.6,0,2022-12-23
4335-UPJSI,two year,498.1,19.75,24,24-48,False,Mailed check,,,,19.75,0,2022-12-20
0524-IAVZO,month-to-month,2624.25,85.0,30,24-48,True,Electronic check,,,,85.0,0,2022-12-18
2737-YNGYW,month-to-month,184.1,80.55,2,0-6,True,Electronic check,,,,80.55,0,2022-12-09
1784-EZDKJ,one year,5498.8,106.8,51,48+,False,Bank transfer (automatic),0.0,1.0,38.33,106.8,0,2022-12-17
9297-FVVDH,two year,4845.4,84.5,57,48+,False,Electronic check,,,,84.5,0,2022-12-19
8007-YYPWD,two year,369.1,25.05,15,12-24,False,Bank transfer (automatic),1.0,1.0,37.0,25.05,0,2022-12-03
7101-HRBLJ,two year,6096.9,83.7,72,48+,False,Bank transfer (automatic),,,,83.7,0,2022-12-13
5159-YFPKQ,month-to-month,160.75,75.8,2,0-6,True,Electronic check,0.0,0.0,11.0,75.8,0,2022-12-11
6635-CPNUN,month-to-month,2684.35,96.6,28,24-48,False,Credit card (automatic),,,,96.6,0,2022-12-22
4021-RQSNY,month-to-month,3004.15,98.5,29,24-48,True,Electronic check,,,,98.5,0,2022-12-17
5453-YBTWV,two year,6994.8,101.1,70,48+,False,Credit card (automatic),,,,101.1,0,2022-12-11
5039-LZRQT,one year,273.25,20.2,13,12-24,False,Mailed check,,,,20.2,0,2022-12-24
2931-VUVJN,one year,5483.9,94.05,59,48+,False,Electronic check,,,,94.05,0,2022-12-27
9061-TIHDA,month-to-month,1233.65,95.25,13,12-24,True,Electronic check,1.0,2.0,22.5,95.25,0,2022-12-27
8699-ASUFO,month-to-month,527.9,74.4,7,6-12,True,Mailed check,,,,74.4,0,2022-12-27
6418-PIQSP,two year,4985.9,81.0,62,48+,False,Mailed check,,,,81.0,0,2022-12-14
8220-OCUFY,one year,1258.35,60.25,21,12-24,False,Electronic check,,,,60.25,0,2022-12-11
3995-WFCSM,month-to-month,111.4,60.85,2,0-6,False,Electronic check,,,,60.85,0,2022-12-17
1895-QTKDO,month-to-month,43.95,43.95,1,0-6,False,Credit card (automatic),2.0,3.0,39.8,43.95,0,2022-12-04
2038-OEQZH,month-to-month,308.1,86.05,4,0-6,False,Electronic check,,,,86.05,0,2022-12-11
1178-PZGAB,one year,383.65,20.25,19,12-24,False,Credit card (automatic),,,,20.25,0,2022-12-04
7927-AUXBZ,month-to-month,2555.9,85.15,30,24-48,True,Electronic check,,,,85.15,0,2022-12-22
2626-VEEWG,two year,1284.2,19.4,67,48+,False,Credit card (automatic),,,,19.4,0,2022-12-21
2878-RMWXY,two year,7550.3,102.65,72,48+,False,Credit card (automatic),,,,102.65,0,2022-12-16
1657-DYMBM,two year,1110.05,19.9,53,48+,False,Credit card (automatic),0.0,3.0,27.4,19.9,0,2022-12-24
7311-MQJCH,one year,99.6,19.55,5,0-6,False,Electronic check,0.0,1.0,27.5,19.55,0,2022-12-24
7375-WMVMT,two year,6707.15,95.5,71,48+,False,Credit card (automatic),,,,95.5,0,2022-12-21
1136-XGEQU,one year,4164.4,84.15,50,48+,False,Credit card (automatic),,,,84.15,0,2022-12-20
2530-FMFXO,two year,5873.75,103.2,56,48+,False,Electronic check,,,,103.2,0,2022-12-22
6844-DZKRF,month-to-month,109.25,50.2,2,0-6,False,Credit card (automatic),,,,50.2,0,2022-12-25
4695-WJZUE,month-to-month,179.25,88.55,2,0-6,True,Electronic check,,,,88.55,0,2022-12-04
7619-ODSGN,month-to-month,1338.15,54.75,24,24-48,True,Electronic check,,,,54.75,0,2022-12-14
5970-GHJAW,two year,862.4,19.95,46,24-48,False,Credit card (automatic),,,,19.95,0,2022-12-17
8879-XUAHX,two year,8564.75,116.25,71,48+,False,Electronic check,,,,116.25,0,2022-12-28
3689-MOZGR,month-to-month,926.2,31.2,29,24-48,False,Electronic check,,,,31.2,0,2022-12-20
4195-PNGZS,two year,1718.2,24.45,69,48+,False,Bank transfer (automatic),,,,24.45,0,2022-12-06
5003-XZWWO,two year,5956.85,84.2,71,48+,False,Credit card (automatic),,,,84.2,0,2022-12-23
3988-RQIXO,month-to-month,91.3,91.3,1,0-6,True,Electronic check,,,,91.3,0,2022-12-11
7622-FWGEW,two year,4824.45,85.65,56,48+,False,Bank transfer (automatic),,,,85.65,0,2022-12-01
6922-NCEDI,one year,1238.65,21.2,56,48+,False,Mailed check,,,,21.2,0,2022-12-25
2514-GINMM,month-to-month,79.5,79.5,1,0-6,True,Electronic check,,,,79.5,0,2022-12-08
9891-NQDBD,one year,672.2,25.55,28,24-48,False,Mailed check,,,,25.55,0,2022-12-27
6131-IUNXN,month-to-month,382.2,20.2,19,12-24,False,Mailed check,2.0,1.0,31.25,20.2,0,2022-12-07
8548-AWOFC,month-to-month,4264.6,63.85,66,48+,False,Electronic check,,,,63.85,0,2022-12-23
9798-DRYDS,one year,1070.7,61.95,17,12-24,False,Mailed check,,,,61.95,0,2022-12-25
8532-UEFWH,two year,1345.85,25.75,52,48+,False,Mailed check,,,,25.75,0,2022-12-25
6296-DDOOR,one year,1045.25,58.2,19,12-24,False,Electronic check,,,,58.2,0,2022-12-18
7951-VRDVK,one year,3003.55,85.85,36,24-48,False,Bank transfer (automatic),,,,85.85,0,2022-12-08
5931-FLJJF,month-to-month,467.55,70.1,7,6-12,True,Mailed check,,,,70.1,0,2022-12-13
4815-YOSUK,one year,7537.5,104.9,72,48+,False,Credit card (automatic),,,,104.9,0,2022-12-08
2659-VXMWZ,one year,7482.1,111.3,67,48+,True,Electronic check,,,,111.3,0,2022-12-03
0380-NEAVX,one year,3343.15,99.85,34,24-48,False,Electronic check,,,,99.85,0,2022-12-28
3207-OYBWH,month-to-month,5427.05,95.25,57,48+,True,Bank transfer (automatic),,,,95.25,0,2022-12-18
4285-GYRQC,month-to-month,587.1,86.25,7,6-12,True,Electronic check,,,,86.25,0,2022-12-02
7216-EWTRS,month-to-month,100.8,100.8,1,0-6,True,Electronic check,,,,100.8,0,2022-12-20
4365-MSDYN,month-to-month,161.15,19.55,8,6-12,False,Bank transfer (automatic),,,,19.55,0,2022-12-02
7036-TYDEC,two year,7028.5,104.0,69,48+,False,Electronic check,,,,104.0,0,2022-12-23
5802-ADBRC,one year,5232.9,104.4,50,48+,False,Mailed check,,,,104.4,0,2022-12-27
8076-FEZKJ,one year,225.85,19.5,10,6-12,False,Mailed check,,,,19.5,0,2022-12-07
5197-YPYBZ,two year,274.7,25.25,12,12-24,False,Credit card (automatic),1.0,1.0,26.0,25.25,0,2022-12-14
8337-MSSXB,month-to-month,1180.95,86.3,14,12-24,True,Electronic check,1.0,1.0,37.0,86.3,0,2022-12-02
4312-GVYNH,two year,3370.2,49.85,70,48+,False,Bank transfer (automatic),0.0,1.0,8.0,49.85,0,2022-12-20
8495-LJDFO,month-to-month,7111.3,108.95,64,48+,False,Bank transfer (automatic),,,,108.95,0,2022-12-10
0839-JTCUD,two year,5958.85,89.9,66,48+,False,Credit card (automatic),,,,89.9,0,2022-12-20
5494-WOZRZ,two year,5999.85,82.0,71,48+,False,Credit card (automatic),1.0,0.0,42.0,82.0,0,2022-12-17
1302-UHBDD,month-to-month,1648.45,89.95,20,12-24,False,Electronic check,,,,89.95,0,2022-12-17
2234-EOFPT,two year,5753.25,79.35,72,48+,False,Bank transfer (automatic),,,,79.35,0,2022-12-26
8619-IJNDK,two year,4492.9,64.05,71,48+,False,Credit card (automatic),,,,64.05,0,2022-12-21
8378-LKJAF,month-to-month,3956.7,101.15,38,24-48,False,Credit card (automatic),,,,101.15,0,2022-12-08
8182-BJDSI,month-to-month,2625.55,89.95,28,24-48,True,Electronic check,,,,89.95,0,2022-12-21
2528-HFYZX,month-to-month,1233.4,76.45,17,12-24,True,Electronic check,,,,76.45,0,2022-12-19
1153-GNOLC,one year,1309.0,39.1,33,24-48,False,Electronic check,1.0,1.0,31.0,39.1,0,2022-12-27
3298-QEICA,two year,813.45,34.6,23,12-24,False,Mailed check,,,,34.6,0,2022-12-22
0788-DXBFY,one year,1108.8,19.55,58,48+,False,Electronic check,,,,19.55,0,2022-12-23
3597-YASZG,two year,7349.35,104.45,70,48+,False,Bank transfer (automatic),,,,104.45,0,2022-12-12
3496-LFSZU,month-to-month,294.2,70.5,4,0-6,False,Electronic check,,,,70.5,0,2022-12-01
5242-UOWHD,two year,929.2,20.35,45,24-48,False,Mailed check,1.0,4.0,30.2,20.35,0,2022-12-14
2482-CZGBB,month-to-month,740.0,70.0,10,6-12,True,Electronic check,,,,70.0,0,2022-12-16
6479-SZPLM,two year,754.5,19.45,36,24-48,False,Credit card (automatic),,,,19.45,0,2022-12-28
8097-VBQTZ,month-to-month,3883.3,69.9,54,48+,False,Mailed check,,,,69.9,0,2022-12-26
4500-HKANN,two year,1414.2,59.7,23,12-24,False,Mailed check,,,,59.7,0,2022-12-02
9917-KWRBE,one year,3211.2,78.35,41,24-48,False,Credit card (automatic),,,,78.35,0,2022-12-20
3420-ZDBMA,month-to-month,371.6,71.45,5,0-6,False,Mailed check,0.0,2.0,40.67,71.45,0,2022-12-23
2212-LYASK,one year,1246.4,45.85,27,24-48,False,Credit card (automatic),,,,45.85,0,2022-12-11
1393-IMKZG,month-to-month,95.85,95.85,1,0-6,False,Electronic check,,,,95.85,0,2022-12-10
8069-RHUXK,two year,2545.7,35.7,67,48+,False,Credit card (automatic),,,,35.7,0,2022-12-09
3398-GCPMU,two year,6448.85,89.55,72,48+,False,Credit card (automatic),,,,89.55,0,2022-12-10
2908-WGAXL,two year,1468.9,24.95,56,48+,False,Credit card (automatic),,,,24.95,0,2022-12-22
3378-AJRAO,one year,1013.6,24.85,44,24-48,False,Electronic check,,,,24.85,0,2022-12-07
1013-QCWAM,month-to-month,6690.75,100.8,66,48+,False,Electronic check,0.0,0.0,43.0,100.8,0,2022-12-12
0866-QLSIR,one year,2088.75,64.4,34,24-48,True,Mailed check,,,,64.4,0,2022-12-14
6050-FFXES,two year,7240.65,105.35,69,48+,False,Bank transfer (automatic),,,,105.35,0,2022-12-13
7181-BQYBV,month-to-month,102.45,102.45,1,0-6,True,Electronic check,,,,102.45,0,2022-12-19
0362-RAOQO,two year,830.25,19.65,40,24-48,False,Credit card (automatic),,,,19.65,0,2022-12-14
9554-DFKIC,month-to-month,1588.7,54.45,30,24-48,False,Bank transfer (automatic),,,,54.45,0,2022-12-04
5527-ACHSO,month-to-month,829.3,70.5,11,6-12,False,Mailed check,1.0,3.0,39.2,70.5,0,2022-12-16
0829-DDVLK,one year,302.45,20.1,15,12-24,False,Credit card (automatic),,,,20.1,0,2022-12-23
1399-UBQIU,month-to-month,712.25,69.35,11,6-12,False,Electronic check,,,,69.35,0,2022-12-26
1813-JLKWR,one year,1336.65,19.8,64,48+,False,Bank transfer (automatic),,,,19.8,0,2022-12-13
0336-PIKEI,two year,5360.75,74.4,72,48+,False,Bank transfer (automatic),1.0,2.0,34.67,74.4,0,2022-12-23
7322-OCWHC,two year,6735.05,93.05,72,48+,False,Bank transfer (automatic),,,,93.05,0,2022-12-25
9537-VHDTA,month-to-month,51.2,51.2,1,0-6,False,Mailed check,1.0,0.0,27.67,51.2,0,2022-12-04
4957-TIALW,one year,1010.0,65.6,15,12-24,False,Credit card (automatic),,,,65.6,0,2022-12-18
2054-PJOCK,one year,4847.05,80.55,60,48+,False,Credit card (automatic),,,,80.55,0,2022-12-22
9150-HEPMB,one year,3019.7,52.7,56,48+,False,Mailed check,,,,52.7,0,2022-12-06
9030-QGZNL,two year,161.65,20.85,8,6-12,False,Mailed check,,,,20.85,0,2022-12-14
6204-IEUXJ,month-to-month,217.55,80.1,3,0-6,True,Credit card (automatic),,,,80.1,0,2022-12-02
3126-WQMGH,month-to-month,2583.75,52.15,49,48+,False,Credit card (automatic),,,,52.15,0,2022-12-02
4529-CKBCL,month-to-month,146.05,80.2,2,0-6,True,Electronic check,,,,80.2,0,2022-12-20
2506-CLAKW,month-to-month,567.45,98.15,6,6-12,True,Bank transfer (automatic),,,,98.15,0,2022-12-14
7176-WRTNX,two year,7711.25,114.95,70,48+,False,Bank transfer (automatic),,,,114.95,0,2022-12-12
1583-IHQZE,month-to-month,1384.75,112.95,12,12-24,True,Mailed check,,,,112.95,0,2022-12-24
5732-IKGQH,one year,5481.25,104.45,52,48+,False,Bank transfer (automatic),,,,104.45,0,2022-12-09
9239-GZHZE,two year,8124.2,113.65,72,48+,False,Credit card (automatic),,,,113.65,0,2022-12-01
7205-BAIAD,two year,827.3,20.6,40,24-48,False,Bank transfer (automatic),,,,20.6,0,2022-12-17
0151-ONTOV,month-to-month,70.9,70.9,1,0-6,True,Mailed check,,,,70.9,0,2022-12-16
4140-MUHUG,month-to-month,220.95,86.85,3,0-6,True,Electronic check,,,,86.85,0,2022-12-15
0093-EXYQL,month-to-month,3673.6,91.55,40,24-48,False,Electronic check,,,,91.55,0,2022-12-17
8064-RAVOH,month-to-month,49.85,49.85,1,0-6,False,Electronic check,2.0,0.0,30.67,49.85,0,2022-12-21
0219-QAERP,one year,576.65,19.8,30,24-48,False,Credit card (automatic),,,,19.8,0,2022-12-22
0320-JDNQG,month-to-month,2331.3,99.85,23,12-24,True,Electronic check,,,,99.85,0,2022-12-15
7180-PISOG,month-to-month,74.5,74.5,1,0-6,True,Electronic check,,,,74.5,0,2022-12-28
9168-INPSZ,month-to-month,4495.65,104.15,44,24-48,False,Electronic check,,,,104.15,0,2022-12-10
3571-RFHAR,month-to-month,6941.2,109.15,65,48+,True,Electronic check,,,,109.15,0,2022-12-23
0015-UOCOJ,month-to-month,340.35,48.2,7,6-12,False,Electronic check,,,,48.2,0,2022-12-22
5334-AFQJB,two year,1789.9,25.1,72,48+,False,Credit card (automatic),,,,25.1,0,2022-12-17
2754-SDJRD,month-to-month,908.55,100.15,8,6-12,False,Credit card (automatic),,,,100.15,0,2022-12-24
9578-VRMNM,month-to-month,1043.35,65.2,16,12-24,True,Credit card (automatic),,,,65.2,0,2022-12-05
1587-FKLZB,month-to-month,6822.15,99.5,66,48+,True,Credit card (automatic),,,,99.5,0,2022-12-15
6140-QNRQQ,month-to-month,71.55,71.55,1,0-6,True,Mailed check,,,,71.55,0,2022-12-07
8963-JLGJT,month-to-month,157.55,55.9,3,0-6,False,Mailed check,,,,55.9,0,2022-12-26
4307-KTUMW,month-to-month,5029.2,93.9,53,48+,True,Electronic check,,,,93.9,0,2022-12-11
1465-LNTLJ,month-to-month,581.7,64.4,8,6-12,False,Credit card (automatic),,,,64.4,0,2022-12-20
5440-FLBQG,two year,7318.2,108.4,69,48+,True,Bank transfer (automatic),,,,108.4,0,2022-12-10
2135-DQWAQ,month-to-month,420.45,85.3,5,0-6,False,Mailed check,,,,85.3,0,2022-12-12
4056-QHXHZ,two year,7576.7,107.45,72,48+,False,Mailed check,,,,107.45,0,2022-12-21
7470-MCQTK,month-to-month,633.4,48.75,13,12-24,True,Bank transfer (automatic),,,,48.75,0,2022-12-03
7488-MXJIV,month-to-month,321.65,85.65,4,0-6,True,Electronic check,,,,85.65,0,2022-12-19
7401-JIXNM,two year,4965.0,91.3,54,48+,False,Credit card (automatic),,,,91.3,0,2022-12-04
9339-FIIJL,two year,6151.9,85.95,72,48+,False,Bank transfer (automatic),,,,85.95,0,2022-12-06
2027-FECZV,month-to-month,1253.9,106.7,12,12-24,True,Electronic check,,,,106.7,0,2022-12-19
2672-DZUOY,month-to-month,25.15,25.15,1,0-6,True,Electronic check,,,,25.15,0,2022-12-21
